type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028015,"5, Phungling Municipality",Taplejung,Taplejung,2014-07-07
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028016,"9, Kushma Municipality",Parbat,Gyadi,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028017,"5, Annapurna Rural Municipality",Kaski,Nayapool,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028018,"5, Bidur Municipality",Nuwakot,Gangate,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028019,"3, Tadi Rural Municipality",Nuwakot,Kharanitar,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028020,"6, Likhu Rural Municipality",Nuwakot,Chhahare,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028021,"11, Melanchi Municipality",Sindhupalchok,Melamchi,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028022,"13, Bhimeshwor Municipality",Dolakha,Singati,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028023,"1, Manthali Municipality",Ramechhap,Manthali,2014-10-12
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028024,"11, Pokhara Metropolitian City",Kaski,Kahun,2015-03-15
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028025,"10, Gorkha Municipality",Gorkha,Bhachek,2015-03-15
Microfinance Institutions (Class D),"
                                            Laxmi Laghubitta Bittiya Sanstha Ltd.
                                        ",14023001,"1, Kathmandu Metropolitian City",Kathmandu,Head Office ,2012-06-04
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029066,"3, Ram Gopalpur Municipality",Mahottari,Ramgopalpur,2016-12-16
